time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1601634525.9,2020-10-02T10:28:45.900000+00:00,-77.164506,-100.172708,0.0,3,0;1,60.0;310.0;15.0;130.0;10.0;130.0,356.2,locations_summary_20201002.csv
1601683619.1,2020-10-03T00:06:59.099999+00:00,-76.951737,-102.665566,0.0,3,0;1,300.0;345.0;305.0;345.0;310.0;150.0,113.15,locations_summary_20201003.csv
1601683629.175,2020-10-03T00:07:09.174999+00:00,-77.25976,-100.742168,0.0,2,0;1,300.0;140.0;305.0;140.0,6.7,locations_summary_20201003.csv
1601683990.887,2020-10-03T00:13:10.887499+00:00,-76.818228,-106.276401,0.0,2,0;1,110.0;250.0;110.0;70.0,10.175,locations_summary_20201003.csv
1601790057.213,2020-10-04T05:40:57.212500+00:00,-77.03527,-103.643757,0.0,2,0;1,105.0;190.0;295.0;10.0,40286.675,locations_summary_20201004.csv
1601769943.787,2020-10-04T00:05:43.787500+00:00,-77.52718,-104.219827,0.0,2,0;1,255.0;190.0;255.0;15.0,12.875,locations_summary_20201004.csv
1601770054.925,2020-10-04T00:07:34.925000+00:00,-77.255394,-99.696924,0.0,2,0;1,85.0;130.0;245.0;130.0,19.1,locations_summary_20201004.csv
1601770105.438,2020-10-04T00:08:25.437500+00:00,-77.110023,-102.754918,0.0,2,0;1,110.0;170.0;110.0;165.0,24.825,locations_summary_20201004.csv
1601770147.487,2020-10-04T00:09:07.487500+00:00,-76.818353,-102.991557,0.0,2,0;1,310.0;165.0;310.0;165.0,21.975,locations_summary_20201004.csv
1601856355.688,2020-10-05T00:05:55.687500+00:00,-76.801292,-103.597492,0.0,2,0;1,125.0;25.0;125.0;190.0,23.475,locations_summary_20201005.csv
1601967927.738,2020-10-06T07:05:27.737500+00:00,-76.454033,-103.859127,0.0,2,0;1,315.0;105.0;140.0;145.0,50408.425,locations_summary_20201006.csv
1601943174.262,2020-10-06T00:12:54.262500+00:00,-77.024727,-100.135314,0.0,2,0;1,185.0;305.0;205.0;120.0,180.875,locations_summary_20201006.csv
1601967022.025,2020-10-06T06:50:22.025000+00:00,-76.442836,-100.147422,0.0,2,0;1,185.0;265.0;5.0;75.0,47861.7,locations_summary_20201006.csv
1601993321.0,2020-10-06T14:08:41+00:00,-77.344621,-100.59628,0.0,3,0;1,10.0;140.0;35.0;140.0;35.0;145.0,37.525,locations_summary_20201006.csv
1602029144.137,2020-10-07T00:05:44.137500+00:00,-76.956979,-104.601901,0.0,2,0;1,290.0;210.0;290.0;225.0,17.925,locations_summary_20201007.csv
1602029324.25,2020-10-07T00:08:44.250000+00:00,-76.562634,-102.343378,0.0,3,0;1,150.0;270.0;150.0;280.0;150.0;250.0,21.675,locations_summary_20201007.csv
1602115655.85,2020-10-08T00:07:35.850000+00:00,-77.315644,-100.495777,0.0,11,0;1,195.0;320.0;5.0;320.0;5.0;320.0;30.0;320.0;30.0;140.0;230.0;315.0;230.0;325.0;40.0;150.0;180.0;315.0;85.0;315.0;250.0;135.0,472.1,locations_summary_20201008.csv
1602201966.938,2020-10-09T00:06:06.937500+00:00,-76.261047,-103.10821,0.0,4,0;1,150.0;185.0;150.0;190.0;150.0;185.0;150.0;190.0,26.775,locations_summary_20201009.csv
1602201971.55,2020-10-09T00:06:11.550000+00:00,-77.342215,-103.778661,0.0,3,0;1,85.0;185.0;85.0;190.0;270.0;190.0,22.25,locations_summary_20201009.csv
