time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1579219599.162,2020-01-17T00:06:39.162500+00:00,-76.642456,-95.968957,0.0,2,0;1,2,235.0;270.0;240.0;275.0,104.325,True,locations_summary_20200117_triangulated.csv
1579219561.775,2020-01-17T00:06:01.775000+00:00,-80.493218,-120.515368,0.0,1,0;1,2,235.0;225.0,0.0,True,locations_summary_20200117_triangulated.csv
1579219580.287,2020-01-17T00:06:20.287500+00:00,-76.220176,-101.745918,0.0,2,0;1,2,165.0;225.0;165.0;45.0,11.825,True,locations_summary_20200117_triangulated.csv
1579219601.175,2020-01-17T00:06:41.175000+00:00,-76.798222,-104.285003,0.0,1,0;1,2,300.0;45.0,0.0,True,locations_summary_20200117_triangulated.csv
1579219611.25,2020-01-17T00:06:51.250000+00:00,-77.723052,-97.248825,0.0,1,0;1,2,300.0;310.0,0.0,True,locations_summary_20200117_triangulated.csv
1579219624.35,2020-01-17T00:07:04.350000+00:00,-77.298825,-99.469571,0.0,1,0;1,2,90.0;310.0,0.0,True,locations_summary_20200117_triangulated.csv
1579219639.875,2020-01-17T00:07:19.875000+00:00,-77.298825,-66.703597,0.0,1,0;1,2,90.0;275.0,0.0,True,locations_summary_20200117_triangulated.csv
1579219661.75,2020-01-17T00:07:41.750000+00:00,-75.619722,-87.701624,0.0,1,0;1,2,240.0;75.0,0.0,True,locations_summary_20200117_triangulated.csv
1579243814.425,2020-01-17T06:50:14.425000+00:00,-76.820441,-103.477367,0.0,1,0;1,2,125.0;190.0,0.0,True,locations_summary_20200117_triangulated.csv
1579243826.925,2020-01-17T06:50:26.925000+00:00,-76.54293,-103.26243,0.0,1,0;1,2,320.0;190.0,0.0,True,locations_summary_20200117_triangulated.csv
1579305912.5,2020-01-18T00:05:12.500000+00:00,-76.987395,-100.10983,0.0,1,0;1,2,15.0;300.0,0.0,True,locations_summary_20200118_triangulated.csv
1579305917.875,2020-01-18T00:05:17.875000+00:00,-78.917515,-102.381532,0.0,1,0;1,2,15.0;355.0,0.0,True,locations_summary_20200118_triangulated.csv
1579305935.75,2020-01-18T00:05:35.750000+00:00,-72.364164,-94.668408,0.0,1,0;1,2,15.0;25.0,0.0,True,locations_summary_20200118_triangulated.csv
1579305954.237,2020-01-18T00:05:54.237500+00:00,-76.671116,-103.233607,0.0,2,0;1,2,135.0;25.0;135.0;340.0,9.075,True,locations_summary_20200118_triangulated.csv
1579305978.637,2020-01-18T00:06:18.637500+00:00,-77.208698,-101.953852,0.0,2,0;1,2,105.0;340.0;105.0;330.0,12.375,True,locations_summary_20200118_triangulated.csv
1579306069.688,2020-01-18T00:07:49.687500+00:00,-77.087174,-102.970787,0.0,2,0;1,2,105.0;350.0;115.0;355.0,149.425,True,locations_summary_20200118_triangulated.csv
1579305993.625,2020-01-18T00:06:33.625000+00:00,-77.393412,-101.195994,0.0,1,0;1,2,60.0;330.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306003.775,2020-01-18T00:06:43.775000+00:00,-77.566392,-102.51204,0.0,1,0;1,2,60.0;350.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306020.825,2020-01-18T00:07:00.825000+00:00,-77.976327,-102.194537,0.0,1,0;1,2,30.0;350.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306036.0,2020-01-18T00:07:16+00:00,-86.113747,-122.831249,0.0,1,0;1,2,30.0;205.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306044.25,2020-01-18T00:07:24.250000+00:00,-76.3622,-98.10107,0.0,1,0;1,2,30.0;260.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306054.525,2020-01-18T00:07:34.525000+00:00,-77.598553,-105.389843,0.0,1,0;1,2,255.0;205.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306062.775,2020-01-18T00:07:42.775000+00:00,-74.838518,-60.144237,0.0,1,0;1,2,255.0;260.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306070.325,2020-01-18T00:07:50.325000+00:00,-76.482919,-101.108313,0.0,1,0;1,2,350.0;260.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306095.375,2020-01-18T00:08:15.375000+00:00,-75.775671,-101.656091,0.0,1,0;1,2,350.0;25.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306156.825,2020-01-18T00:09:16.825000+00:00,-76.308422,-109.805784,0.0,1,0;1,2,115.0;280.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306162.2,2020-01-18T00:09:22.200000+00:00,-76.909482,-104.14391,0.0,1,0;1,2,115.0;30.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306216.225,2020-01-18T00:10:16.225000+00:00,-76.470797,-108.276237,0.0,1,0;1,2,295.0;95.0,0.0,True,locations_summary_20200118_triangulated.csv
1579306236.225,2020-01-18T00:10:36.225000+00:00,-76.597542,-101.912793,0.0,1,0;1,2,155.0;95.0,0.0,True,locations_summary_20200118_triangulated.csv
1579366297.95,2020-01-18T16:51:37.950000+00:00,-86.134989,-118.575214,0.0,1,0;1,2,25.0;200.0,0.0,True,locations_summary_20200118_triangulated.csv
1579366304.125,2020-01-18T16:51:44.125000+00:00,-75.986976,-97.789356,0.0,1,0;1,2,25.0;245.0,0.0,True,locations_summary_20200118_triangulated.csv
1579366311.5,2020-01-18T16:51:51.500000+00:00,-77.237788,-100.351355,0.0,1,0;1,2,25.0;135.0,0.0,True,locations_summary_20200118_triangulated.csv
1579392311.425,2020-01-19T00:05:11.425000+00:00,-75.57117,-102.509781,0.0,2,0;1,2,165.0;190.0;345.0;190.0,6.95,True,locations_summary_20200119_triangulated.csv
1579392343.6,2020-01-19T00:05:43.600000+00:00,-76.659601,-101.280822,0.0,5,0;1,2,165.0;275.0;345.0;275.0;345.0;285.0;345.0;285.0;160.0;285.0,48.35,True,locations_summary_20200119_triangulated.csv
1579392336.75,2020-01-19T00:05:36.750000+00:00,-74.913722,-103.283581,0.0,3,0;1,2,165.0;0.0;345.0;0.0;345.0;0.0,23.55,True,locations_summary_20200119_triangulated.csv
1579392391.55,2020-01-19T00:06:31.550000+00:00,-75.878207,-102.747588,0.0,1,0;1,2,160.0;190.0,0.0,True,locations_summary_20200119_triangulated.csv
1579392400.675,2020-01-19T00:06:40.675000+00:00,-78.230695,-104.569639,0.0,1,0;1,2,225.0;190.0,0.0,True,locations_summary_20200119_triangulated.csv
1579392407.275,2020-01-19T00:06:47.275000+00:00,-77.437309,-101.084669,0.0,1,0;1,2,225.0;330.0,0.0,True,locations_summary_20200119_triangulated.csv
1579392428.65,2020-01-19T00:07:08.650000+00:00,-77.109653,-101.915613,0.0,1,0;1,2,120.0;330.0,0.0,True,locations_summary_20200119_triangulated.csv
1579392686.475,2020-01-19T00:11:26.475000+00:00,-76.570239,-100.476376,0.0,1,0;1,2,180.0;270.0,0.0,True,locations_summary_20200119_triangulated.csv
1579393296.875,2020-01-19T00:21:36.875000+00:00,-77.110209,-99.896253,0.0,1,0;1,2,215.0;305.0,0.0,True,locations_summary_20200119_triangulated.csv
1579462801.85,2020-01-19T19:40:01.850000+00:00,-76.312468,-100.855429,0.0,1,0;1,2,355.0;245.0,0.0,True,locations_summary_20200119_triangulated.csv
1579478728.625,2020-01-20T00:05:28.625000+00:00,-77.455771,-92.596665,0.0,1,0;1,2,275.0;110.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478744.0,2020-01-20T00:05:44+00:00,-76.670896,-102.068822,0.0,1,0;1,2,330.0;110.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478857.125,2020-01-20T00:07:37.125000+00:00,-76.077018,-103.265402,0.0,2,0;1,2,330.0;175.0;155.0;185.0,211.0,True,locations_summary_20200120_triangulated.csv
1579478758.65,2020-01-20T00:05:58.650001+00:00,-74.603092,-107.312827,0.0,1,0;1,2,330.0;155.0,0.0,True,locations_summary_20200120_triangulated.csv
